SPORT;EVENT;MEDALIST;MEDAL
Weightlifting;Women's 53kg;YOON Jin Hee;BRONZE
Weightlifting;Women's 58kg;KUO Hsing-Chun;BRONZE
Weightlifting;Women's 63kg;GORICHEVA Karina;BRONZE
Weightlifting;Women's 69kg;AHMED Sara;BRONZE
Weightlifting;Women's 75kg;VALENTIN PEREZ Lidia;BRONZE
Wrestling;Men's Freestyle 125 kg;PETRIASHVILI Geno;BRONZE
Wrestling;Men's Freestyle 57 kg;RAHIMI Hassan Sabzali;BRONZE
Wrestling;Men's Freestyle 65 kg;NAVRUZOV Ikhtiyor;BRONZE
Wrestling;Men's Freestyle 74 kg;HASANOV Jabrayil;BRONZE
Wrestling;Men's Freestyle 86 kg;SHARIFOV Sharif;BRONZE
Wrestling;Men's Freestyle 97 kg;SARITOV Albert;BRONZE
Wrestling;Men's Greco-Roman 130 kg;SEMENOV Sergey;BRONZE
Wrestling;Men's Greco-Roman 59 kg;BERGE Stig-Andre;BRONZE
Wrestling;Men's Greco-Roman 66 kg;CHUNAYEV Rasul;BRONZE
Wrestling;Men's Greco-Roman 75 kg;ABDVALI Saeid Morad;BRONZE
Wrestling;Men's Greco-Roman 85 kg;HAMZATAU Javid;BRONZE
Wrestling;Men's Greco-Roman 98 kg;ILDEM Cenk;BRONZE
Wrestling;Women's Freestyle 48 kg;SUN Yanan;BRONZE
Wrestling;Women's Freestyle 53 kg;SINISHIN Natalya;BRONZE
Wrestling;Women's Freestyle 58 kg;MALIK Sakshi;BRONZE
Wrestling;Women's Freestyle 63 kg;MICHALIK Monika Ewa;BRONZE
Wrestling;Women's Freestyle 69 kg;SYZDYKOVA Elmira;BRONZE
Wrestling;Women's Freestyle 75 kg;ZHANG Fengliu;BRONZE
Boxing;Men's Bantam (56kg);AKHMADALIEV Murodjon;BRONZE
Boxing;Men's Fly (52kg);HU Jianguan;BRONZE
Boxing;Men's Heavy (91kg);SAVON Erislandy;BRONZE
Boxing;Men's Light (60kg);DORJNYAMBUU Otgondalai;BRONZE
Boxing;Men's Light Fly (46-49kg);ARGILAGOS Joahnys;BRONZE
Boxing;Men's Light Heavy (81kg);BAUDERLIQUE Mathieu Albert Daniel;BRONZE
Boxing;Men's Light Welter (64kg);DUNAYTSEV Vitaly;BRONZE
Boxing;Men's Middle (75kg);SHAKHSUVARLY Kamran;BRONZE
Boxing;Men's Super Heavy (+91kg);HRGOVIC Filip;BRONZE
Boxing;Men's Welter (69kg);RABII Mohammed;BRONZE
Boxing;Women's Fly (48-51kg);REN Cancan;BRONZE
Boxing;Women's Light (57-60kg);POTKONEN Mira;BRONZE
Boxing;Women's Middle (69-75kg);SHAKIMOVA Dariga;BRONZE
Canoe Sprint;Men's Kayak Single 200m;RAUHE Ronald;BRONZE
Judo;Men -100 kg;MARET Cyrille;BRONZE
Judo;Men -60 kg;TAKATO Naohisa;BRONZE
Judo;Men -66 kg;EBINUMA Masashi;BRONZE
Judo;Men -73 kg;SHAVDATUASHVILI Lasha;BRONZE
Judo;Men -81 kg;NAGASE Takanori;BRONZE
Judo;Men -90 kg;GWAK Donghan;BRONZE
Judo;Men +100 kg;SILVA Rafael;BRONZE
Judo;Women -48 kg;GALBADRAKH Otgontsetseg;BRONZE
Judo;Women -52 kg;KUZIUTINA Natalia;BRONZE
Judo;Women -57 kg;MATSUMOTO Kaori;BRONZE
Judo;Women -63 kg;VAN EMDEN Anicka;BRONZE
Judo;Women -70 kg;VARGAS KOCH Laura;BRONZE
Judo;Women -78 kg;AGUIAR Mayra;BRONZE
Judo;Women +78 kg;YAMABE Kanae;BRONZE
Swimming;Women's 100m Backstroke;FU Yuanhui;BRONZE
Taekwondo;Men -58kg;KIM Taehun;BRONZE
Taekwondo;Men -68kg;LEE Daehoon;BRONZE
Taekwondo;Men -80kg;BEIGI HARCHEGANI Milad;BRONZE
Taekwondo;Men +80kg;CHA Dongmin;BRONZE
Taekwondo;Women -49kg;ABAKAROVA Patimat;BRONZE
Taekwondo;Women -57kg;ALIZADEH ZENOORIN Kimia;BRONZE
Taekwondo;Women -67kg;TATAR Nur;BRONZE
Taekwondo;Women +67kg;WALKDEN Bianca;BRONZE
Wrestling;Men's Freestyle 125 kg;SAIDAU Ibrahim;BRONZE
Wrestling;Men's Freestyle 57 kg;ALIYEV Haji;BRONZE
Wrestling;Men's Freestyle 65 kg;CHAMIZO MARQUEZ Frank;BRONZE
Wrestling;Men's Freestyle 74 kg;DEMIRTAS Soner;BRONZE
Wrestling;Men's Freestyle 86 kg;COX J'den Michael Tbory;BRONZE
Wrestling;Men's Freestyle 97 kg;IBRAGIMOV Magomed Idrisovitch;BRONZE
Wrestling;Men's Greco-Roman 130 kg;SHARIATI Sabah;BRONZE
Wrestling;Men's Greco-Roman 59 kg;TASMURADOV Elmurat;BRONZE
Wrestling;Men's Greco-Roman 66 kg;BOLKVADZE Shmagi;BRONZE
Wrestling;Men's Greco-Roman 75 kg;KIM Hyeonwoo;BRONZE
Wrestling;Men's Greco-Roman 85 kg;KUDLA Denis Maksymilian;BRONZE
Wrestling;Men's Greco-Roman 98 kg;REZAEI Ghasem Gholamreza;BRONZE
Wrestling;Women's Freestyle 48 kg;YANKOVA Elitsa Atanasova;BRONZE
Wrestling;Women's Freestyle 53 kg;MATTSSON Sofia Magdalena;BRONZE
Wrestling;Women's Freestyle 58 kg;AMRI Marwa;BRONZE
Wrestling;Women's Freestyle 63 kg;LARIONOVA Yekaterina;BRONZE
Wrestling;Women's Freestyle 69 kg;FRANSSON Anna Jenny;BRONZE
Wrestling;Women's Freestyle 75 kg;BUKINA Ekaterina;BRONZE
